,number,card,card_type,type,Place,Deck,Pilot,Online Price,Paper Price,deck_id,Date,Name,Format,url_name,url_formated
17,1,Forest,,Lands,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
18,2,Godless Shrine,,Lands,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
19,1,Isolated Chapel,,Lands,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
20,3,Marsh Flats,,Lands,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
21,2,Overgrown Tomb,,Lands,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
22,1,Plains,,Lands,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
23,1,Stirring Wildwood,,Lands,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
24,1,Swamp,,Lands,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
25,2,Tectonic Edge,,Lands,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
26,1,Temple Garden,,Lands,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
27,2,Treetop Village,,Lands,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
28,1,Twilight Mire,,Lands,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
29,1,"Urborg, Tomb of Yawgmoth",,Lands,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
30,4,Verdant Catacombs,,Lands,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
31,1,Windswept Heath,,Lands,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
33,2,Stony Silence,,Sideboard,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
34,2,Aven Mindcensor,,Sideboard,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
35,1,Choke,,Sideboard,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
36,3,Fulminator Mage,,Sideboard,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
37,1,Maelstrom Pulse,,Sideboard,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
38,3,Timely Reinforcements,,Sideboard,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
39,1,Damnation,,Sideboard,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
40,1,Languish,,Sideboard,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
41,1,"Sigarda, Host of Herons",,Sideboard,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
1,4,Goblin Guide,,Creatures,2nd,Burn,Ty Scott,240 tix,$ 657,332078,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
2,4,Spark Elemental,,Creatures,2nd,Burn,Ty Scott,240 tix,$ 657,332078,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
3,4,Vexing Devil,,Creatures,2nd,Burn,Ty Scott,240 tix,$ 657,332078,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
4,4,Hellspark Elemental,,Creatures,2nd,Burn,Ty Scott,240 tix,$ 657,332078,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
5,4,Ball Lightning,,Creatures,2nd,Burn,Ty Scott,240 tix,$ 657,332078,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
7,4,Lava Spike,,Spells,2nd,Burn,Ty Scott,240 tix,$ 657,332078,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
8,4,Lightning Bolt,,Spells,2nd,Burn,Ty Scott,240 tix,$ 657,332078,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
9,2,Searing Blaze,,Spells,2nd,Burn,Ty Scott,240 tix,$ 657,332078,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
10,4,Skullcrack,,Spells,2nd,Burn,Ty Scott,240 tix,$ 657,332078,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
11,2,Exquisite Firecraft,,Spells,2nd,Burn,Ty Scott,240 tix,$ 657,332078,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
12,4,Rift Bolt,,Spells,2nd,Burn,Ty Scott,240 tix,$ 657,332078,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
14,4,Cavern of Souls,,Lands,2nd,Burn,Ty Scott,240 tix,$ 657,332078,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
15,16,Mountain,,Lands,2nd,Burn,Ty Scott,240 tix,$ 657,332078,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
17,1,Relic of Progenitus,,Sideboard,2nd,Burn,Ty Scott,240 tix,$ 657,332078,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
18,2,Rending Volley,,Sideboard,2nd,Burn,Ty Scott,240 tix,$ 657,332078,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
19,3,Shattering Spree,,Sideboard,2nd,Burn,Ty Scott,240 tix,$ 657,332078,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
20,4,Eidolon of the Great Revel,,Sideboard,2nd,Burn,Ty Scott,240 tix,$ 657,332078,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
21,1,Torpor Orb,,Sideboard,2nd,Burn,Ty Scott,240 tix,$ 657,332078,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
22,2,Blood Moon,,Sideboard,2nd,Burn,Ty Scott,240 tix,$ 657,332078,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
23,2,Ghostfire,,Sideboard,2nd,Burn,Ty Scott,240 tix,$ 657,332078,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
1,4,Snapcaster Mage,,Creatures,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
2,1,Glen Elendra Archmage,,Creatures,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
3,2,"Tasigur, the Golden Fang",,Creatures,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
4,3,Gurmag Angler,,Creatures,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
6,1,Dispel,,Spells,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
7,4,Lightning Bolt,,Spells,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
8,4,Serum Visions,,Spells,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
9,2,Spell Snare,,Spells,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
10,4,Thought Scour,,Spells,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
11,2,Mana Leak,,Spells,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
12,1,Remand,,Spells,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
13,4,Terminate,,Spells,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
14,1,Electrolyze,,Spells,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
15,3,Kolaghan's Command,,Spells,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
16,2,Cryptic Command,,Spells,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
18,1,Blood Crypt,,Lands,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
19,1,Bloodstained Mire,,Lands,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
20,2,Creeping Tar Pit,,Lands,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
21,3,Island,,Lands,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
22,1,Mountain,,Lands,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
23,4,Polluted Delta,,Lands,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
24,3,Scalding Tarn,,Lands,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
25,2,Steam Vents,,Lands,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
26,2,Sulfur Falls,,Lands,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
27,1,Swamp,,Lands,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
28,2,Watery Grave,,Lands,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
30,1,Engineered Explosives,,Sideboard,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
31,2,Dispel,,Sideboard,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
32,2,Nihil Spellbomb,,Sideboard,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
33,1,Vandalblast,,Sideboard,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
34,1,Countersquall,,Sideboard,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
35,1,Flashfreeze,,Sideboard,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
36,2,Anger of the Gods,,Sideboard,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
37,2,Fulminator Mage,,Sideboard,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
38,1,Consuming Vapors,,Sideboard,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
39,1,Crumble to Dust,,Sideboard,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
40,1,Languish,,Sideboard,3rd,Grixis Delver,Grant Paris,318 tix,"$ 1,112",332079,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
1,1,Spellskite,,Creatures,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
2,3,Wurmcoil Engine,,Creatures,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
3,1,"Ulamog, the Ceaseless Hunger",,Creatures,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
4,1,"Emrakul, the Aeons Torn",,Creatures,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
6,4,Karn Liberated,,Planeswalkers,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
7,2,"Ugin, the Spirit Dragon",,Planeswalkers,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
9,4,Ancient Stirrings,,Spells,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
10,3,Pyroclasm,,Spells,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
11,4,Sylvan Scrying,,Spells,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
13,4,Chromatic Sphere,,Artifacts,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
14,4,Chromatic Star,,Artifacts,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
15,4,Expedition Map,,Artifacts,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
16,2,Relic of Progenitus,,Artifacts,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
17,3,Oblivion Stone,,Artifacts,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
19,1,Eye of Ugin,,Lands,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
20,1,Forest,,Lands,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
21,2,Ghost Quarter,,Lands,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
22,4,Grove of the Burnwillows,,Lands,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
23,4,Urza's Mine,,Lands,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
24,4,Urza's Power Plant,,Lands,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
25,4,Urza's Tower,,Lands,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
27,3,Nature's Claim,,Sideboard,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
28,2,Rending Volley,,Sideboard,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
29,1,Thoughtseize,,Sideboard,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
30,2,Vandalblast,,Sideboard,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
31,1,"Melira, Sylvok Outcast",,Sideboard,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
32,1,Spellskite,,Sideboard,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
33,2,Crucible of Worlds,,Sideboard,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
34,2,Boil,,Sideboard,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
35,1,Orbs of Warding,,Sideboard,4th,Tron,Matt Trunk,259 tix,$ 948,332080,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
1,2,Spellskite,,Creatures,5th,Tron,Carter Nobel,246 tix,$ 870,332081,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
2,3,Wurmcoil Engine,,Creatures,5th,Tron,Carter Nobel,246 tix,$ 870,332081,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
3,1,"Ulamog, the Ceaseless Hunger",,Creatures,5th,Tron,Carter Nobel,246 tix,$ 870,332081,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
4,1,"Emrakul, the Aeons Torn",,Creatures,5th,Tron,Carter Nobel,246 tix,$ 870,332081,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
6,4,Karn Liberated,,Planeswalkers,5th,Tron,Carter Nobel,246 tix,$ 870,332081,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
7,1,"Ugin, the Spirit Dragon",,Planeswalkers,5th,Tron,Carter Nobel,246 tix,$ 870,332081,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
9,4,Ancient Stirrings,,Spells,5th,Tron,Carter Nobel,246 tix,$ 870,332081,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
10,3,Pyroclasm,,Spells,5th,Tron,Carter Nobel,246 tix,$ 870,332081,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
11,4,Sylvan Scrying,,Spells,5th,Tron,Carter Nobel,246 tix,$ 870,332081,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
13,4,Chromatic Sphere,,Artifacts,5th,Tron,Carter Nobel,246 tix,$ 870,332081,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
14,4,Chromatic Star,,Artifacts,5th,Tron,Carter Nobel,246 tix,$ 870,332081,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
15,4,Expedition Map,,Artifacts,5th,Tron,Carter Nobel,246 tix,$ 870,332081,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
16,2,Relic of Progenitus,,Artifacts,5th,Tron,Carter Nobel,246 tix,$ 870,332081,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
17,3,Oblivion Stone,,Artifacts,5th,Tron,Carter Nobel,246 tix,$ 870,332081,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
19,1,Eye of Ugin,,Lands,5th,Tron,Carter Nobel,246 tix,$ 870,332081,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
20,1,Forest,,Lands,5th,Tron,Carter Nobel,246 tix,$ 870,332081,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
21,3,Ghost Quarter,,Lands,5th,Tron,Carter Nobel,246 tix,$ 870,332081,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
22,3,Grove of the Burnwillows,,Lands,5th,Tron,Carter Nobel,246 tix,$ 870,332081,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
23,4,Urza's Mine,,Lands,5th,Tron,Carter Nobel,246 tix,$ 870,332081,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
24,4,Urza's Power Plant,,Lands,5th,Tron,Carter Nobel,246 tix,$ 870,332081,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
